frequency_hz,power
0,2.47349e+18
0.732422,2.59873e+17
1.46484,1.29935e+17
2.19727,9.55038e+16
2.92969,3.98638e+15
3.66211,1.47482e+16
4.39453,1.15845e+17
5.12695,6.69508e+16
5.85938,1.54169e+15
6.5918,1.61405e+16
7.32422,4.17578e+15
8.05664,8.51952e+15
8.78906,1.71234e+15
9.52148,5.73434e+15
10.2539,7.38589e+15
10.9863,1.01186e+17
11.7188,1.24449e+16
12.4512,3.4198e+16
13.1836,5.20674e+14
13.916,7.66997e+16
14.6484,1.75904e+16
15.3809,1.06846e+16
16.1133,1.39392e+15
16.8457,2.67438e+14
17.5781,8.16846e+14
18.3105,1.56057e+16
19.043,2.74335e+13
19.7754,3.12647e+16
20.5078,2.21267e+15
21.2402,3.54746e+16
21.9727,3.23235e+15
22.7051,5.99157e+15
23.4375,2.47115e+16
24.1699,4.91085e+15
24.9023,9.93362e+14
25.6348,9.70065e+14
26.3672,7.1194e+15
27.0996,3.64934e+16
27.832,2.81419e+14
28.5645,6.39442e+14
29.2969,2.00433e+16
30.0293,8.32981e+15
30.7617,1.42476e+15
31.4941,5.54849e+14
32.2266,7.10663e+15
32.959,5.23671e+12
33.6914,6.14378e+14
34.4238,3.33796e+15
35.1562,5.4857e+14
35.8887,5.07332e+15
36.6211,5.98141e+15
37.3535,4.42271e+15
38.0859,4.92952e+15
38.8184,3.31774e+15
39.5508,8.29421e+14
40.2832,2.1695e+15
41.0156,4.4254e+15
41.748,1.54537e+15
42.4805,9.97573e+15
43.2129,1.5744e+16
43.9453,6.45571e+13
44.6777,1.35264e+14
45.4102,5.10403e+15
46.1426,2.81423e+15
46.875,1.96497e+15
47.6074,2.8781e+15
48.3398,8.79715e+13
49.0723,4.66529e+14
49.8047,3.38285e+15
50.5371,6.09858e+15
51.2695,2.36371e+15
52.002,3.05038e+15
52.7344,4.08597e+15
53.4668,1.2106e+15
54.1992,1.21138e+15
54.9316,7.21618e+14
55.6641,4.87798e+15
56.3965,6.41808e+15
57.1289,3.97823e+14
57.8613,2.14077e+14
58.5938,1.98562e+15
59.3262,1.04613e+15
60.0586,9.25728e+13
60.791,6.35106e+14
61.5234,3.37508e+15
62.2559,1.22741e+15
62.9883,4.62918e+14
63.7207,4.72686e+14
64.4531,6.60811e+14
65.1855,1.47969e+15
65.918,2.07849e+15
66.6504,1.82929e+14
67.3828,9.04275e+14
68.1152,4.22758e+14
68.8477,3.88661e+15
69.5801,6.8453e+13
70.3125,1.13185e+15
71.0449,4.97904e+14
71.7773,2.78908e+15
72.5098,1.54826e+15
73.2422,5.01249e+14
73.9746,1.00561e+15
74.707,7.17332e+14
75.4395,2.82154e+15
76.1719,6.64356e+13
76.9043,3.01234e+14
77.6367,6.65823e+14
78.3691,1.56889e+15
79.1016,6.87332e+14
79.834,2.96706e+14
80.5664,3.51133e+14
81.2988,3.23175e+14
82.0312,1.20871e+15
82.7637,1.59736e+15
83.4961,3.71851e+13
84.2285,1.80649e+13
84.9609,1.00051e+15
85.6934,4.62721e+14
86.4258,4.6357e+13
87.1582,8.28509e+14
87.8906,3.24462e+15
88.623,8.25864e+14
89.3555,3.84139e+14
90.0879,1.33701e+14
90.8203,1.51623e+15
91.5527,1.85335e+14
92.2852,1.97237e+15
93.0176,5.92891e+12
93.75,2.33019e+15
94.4824,1.6801e+14
95.2148,1.8847e+14
95.9473,1.76106e+14
96.6797,7.88372e+14
97.4121,3.59139e+14
98.1445,1.01781e+15
98.877,5.25747e+14
99.6094,2.35239e+14
100.342,4.1089e+14
101.074,3.71426e+15
101.807,2.79353e+14
102.539,6.16927e+14
103.271,5.98234e+14
104.004,1.98991e+14
104.736,1.11079e+14
105.469,8.87817e+14
106.201,9.20753e+13
106.934,1.29349e+15
107.666,3.37513e+13
108.398,6.69254e+14
109.131,7.3667e+13
109.863,1.0093e+14
110.596,1.05707e+14
111.328,1.44273e+14
112.061,4.70308e+14
112.793,3.45364e+13
113.525,2.32891e+13
114.258,1.42208e+15
114.99,4.83825e+14
115.723,1.72329e+14
116.455,6.19278e+14
117.188,1.70025e+15
117.92,6.26239e+12
118.652,1.50468e+13
119.385,1.69716e+13
120.117,5.82341e+14
120.85,6.43232e+14
121.582,6.85853e+13
122.314,5.39477e+14
123.047,8.57709e+14
123.779,1.90831e+14
124.512,4.66185e+14
125.244,1.37678e+14
125.977,1.37281e+14
126.709,1.00379e+13
127.441,1.62637e+13
128.174,7.90469e+13
128.906,1.63518e+13
129.639,5.0571e+14
130.371,6.93419e+14
131.104,1.70909e+14
131.836,2.11098e+14
132.568,1.45123e+15
133.301,1.24847e+15
134.033,2.05322e+12
134.766,8.33047e+12
135.498,1.39383e+14
136.23,2.99231e+14
136.963,1.91315e+13
137.695,1.95776e+13
138.428,4.60683e+13
139.16,4.4657e+14
139.893,4.83532e+13
140.625,2.26711e+13
141.357,3.10752e+13
142.09,1.0289e+13
142.822,3.43896e+12
143.555,1.2335e+13
144.287,6.85668e+12
145.02,4.31697e+10
145.752,1.01398e+13
146.484,3.91497e+13
147.217,1.04372e+13
147.949,5.72898e+12
148.682,3.94482e+14
149.414,8.75072e+13
150.146,3.70412e+12
150.879,4.11767e+13
151.611,1.53481e+14
152.344,1.90132e+14
153.076,1.18604e+12
153.809,1.55899e+13
154.541,5.25287e+14
155.273,1.4432e+15
156.006,1.17625e+13
156.738,2.76054e+14
157.471,2.66992e+14
158.203,4.99656e+14
158.936,1.21329e+12
159.668,7.14727e+13
160.4,1.11641e+13
161.133,1.599e+12
161.865,4.47088e+13
162.598,1.4544e+14
163.33,1.33891e+14
164.062,2.50779e+14
164.795,2.81971e+14
165.527,4.47385e+14
166.26,5.39878e+12
166.992,2.59187e+14
167.725,4.00867e+14
168.457,1.47915e+13
169.189,9.06039e+12
169.922,3.97444e+12
170.654,5.6396e+14
171.387,5.5542e+14
172.119,4.79526e+13
172.852,5.82049e+13
173.584,7.32764e+14
174.316,2.56754e+13
175.049,3.95003e+13
175.781,1.23383e+14
176.514,1.32437e+14
177.246,2.84649e+13
177.979,6.07763e+12
178.711,8.00924e+13
179.443,1.73786e+14
180.176,2.29094e+13
180.908,4.60299e+14
181.641,9.07047e+12
182.373,3.22516e+14
183.105,6.07443e+13
183.838,4.62112e+13
184.57,1.57124e+14
185.303,2.26359e+14
186.035,3.32773e+12
186.768,9.83041e+14
187.5,3.31852e+14
188.232,6.36942e+13
188.965,5.1861e+13
189.697,3.23089e+14
190.43,1.04578e+14
191.162,1.68749e+14
191.895,9.99304e+13
192.627,3.02778e+13
193.359,5.62344e+12
194.092,4.8665e+14
194.824,8.5066e+13
195.557,4.2388e+14
196.289,6.92816e+12
197.021,3.93643e+14
197.754,4.0964e+12
